Bore.ID,Easting,Northing,Latitude,Longitude,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,9/04/2015,3.75,8.27,350,0.309164,8.446316,4,Qa,64.1,601
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,9/04/2015,3.26,8.39,349,0.80547,7.089855,5,Qa,64.1,5192
GW400561,597735,6146023,-34.8234,148.0687,10/06/2015,4.08,8,304,1.24355,6.647909,3,Sbs,69.3,4757
GW400560,597927,6145945,-34.8241,148.0708,10/06/2015,3.07,14,304,0.502662,9.297188,4,Sws,69.3,5232
GW400563,596874,6150629,-34.7819,148.0588,10/06/2015,2.28,14,313,1.457451,6.715132,3,Sbs,69.3,6180
GW400564,596533,6150302,-34.7849,148.0551,10/06/2015,2.95,16.5,325,2.200544,6.574702,2,Dcc,69.3,11836
GW400552,604835,6154803,-34.7435,148.1453,10/06/2015,1.23,8,417,5.93511,5.478523,1,Cj,69,2074
GW400555,604940,6155155,-34.7403,148.1464,10/06/2015,4.98,10.5,421,2.718057,6.011496,2,Cj,69,1293
GW400550,595537,6174223,-34.5693,148.0415,12/06/2015,0,17,370,0.929375,6.87526,3,Sbs,65.3,2866
GW400551,595384,6174190,-34.5696,148.0398,12/06/2015,1.76,4,371,2.004911,5.878403,2,Sbs,65.3,2418
GW400548,595812,6174131,-34.5701,148.0445,12/06/2015,1.51,15.5,375,2.141957,6.05646,0,Qa,65.3,4465
GW400129,583489,6164991,-34.6536,147.9111,11/06/2015,NA,2.92,447,2.160147,6.728999,3,Sfv,66.3,NA
GW400130,583475,6164979,-34.6537,147.9109,11/06/2015,0.305,13.35,447,2.694556,6.688941,3,Sfv,66.3,5075
Dinyah_shallow,593219,6170802,-34.60038,148.01662,12/06/2015,3.52,5.02,344,0.663079,7.60262,5,Qa,64.7,8508
Dinyah_deep,593220,6170799,-34.60041,148.01663,12/06/2015,2.92,18.5,344,0.728016,7.308076,5,Qa,64.7,4327
Coolac,606506,6134134,-34.92968,148.16614,10/06/2015,4.72,15.1,239,0.587074,8.431359,4,Qa,78.3,1819
GW400251,599052,6170914,-34.5988,148.0802,11/06/2015,1.7,5,381,1.848508,6.019974,3,Sbs,65.2,1997
GW400253,599051,6170914,-34.5988,148.0802,11/06/2015,1.73,11.6,381,1.848508,6.019974,3,Sbs,65.2,1849
GW400255,598686,6169984,-34.6072,148.0763,12/06/2015,1.82,13.6,370,2.102657,6.563342,3,Sbs,65.2,2316
GW400256,598685,6169984,-34.6072,148.0763,11/06/2015,1.58,5,370,2.102657,6.563342,3,Sbs,65.2,2236
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,11/06/2015,0.27,16.56,362,1.020261,7.054324,3,Qa,63.7,3608
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,11/06/2015,2.21,6.02,364,2.064191,6.02339,2,Qa,63.7,7056
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,11/06/2015,4.37,8.27,350,0.309164,8.446316,4,Qa,64.7,498.4
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,11/06/2015,3.16,8.39,349,0.80547,7.089855,5,Qa,64.7,4282
GW400561,597735,6146023,-34.8234,148.0687,18/08/2015,3.95,8,304,1.24355,6.647909,3,Sbs,88.6,5377
GW400560,597927,6145945,-34.8241,148.0708,18/08/2015,3.07,14,304,0.502662,9.297188,4,Sws,88.6,5961
GW400563,596874,6150629,-34.7819,148.0588,18/08/2015,2.23,14,313,1.457451,6.715132,3,Sbs,88.6,6950
GW400564,596533,6150302,-34.7849,148.0551,18/08/2015,2.99,16.5,325,2.200544,6.574702,2,Dcc,88.6,14317
GW400552,604835,6154803,-34.7435,148.1453,18/08/2015,0.83,8,417,5.93511,5.478523,1,Cj,85.7,2379
GW400555,604940,6155155,-34.7403,148.1464,18/08/2015,4.57,10.5,421,2.718057,6.011496,2,Cj,85.7,1131
GW400550,595537,6174223,-34.5693,148.0415,20/08/2015,0,17,370,0.929375,6.87526,3,Sbs,85.6,3363
GW400551,595384,6174190,-34.5696,148.0398,20/08/2015,1.62,4,371,2.004911,5.878403,2,Sbs,85.6,2766
GW400548,595812,6174131,-34.5701,148.0445,20/08/2015,1.47,15.5,375,2.141957,6.05646,0,Qa,85.6,4509
GW400129,583489,6164991,-34.6536,147.9111,19/08/2015,0.89,2.92,447,2.160147,6.728999,3,Sfv,100.7,5429
GW400130,583475,6164979,-34.6537,147.9109,19/08/2015,0,13.35,447,2.694556,6.688941,3,Sfv,100.7,5824
Dinyah_shallow,593219,6170802,-34.60038,148.01662,20/08/2015,3.15,5.02,344,0.663079,7.60262,5,Qa,92,8503
Dinyah_deep,593220,6170799,-34.60041,148.01663,20/08/2015,2.53,18.5,344,0.728016,7.308076,5,Qa,92,5089
Coolac,606506,6134134,-34.92968,148.16614,18/08/2015,4.02,15.1,239,0.587074,8.431359,4,Qa,85.9,1906
GW400251,599052,6170914,-34.5988,148.0802,19/08/2015,0.62,5,381,1.848508,6.019974,3,Sbs,80.8,2319
GW400253,599051,6170914,-34.5988,148.0802,19/08/2015,0.69,11.6,381,1.848508,6.019974,3,Sbs,80.8,2200
GW400255,598686,6169984,-34.6072,148.0763,19/08/2015,0.99,13.6,370,2.102657,6.563342,3,Sbs,80.8,2490
GW400256,598685,6169984,-34.6072,148.0763,19/08/2015,0.8,5,370,2.102657,6.563342,3,Sbs,80.8,3501
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,20/08/2015,0.16,16.56,362,1.020261,7.054324,3,Qa,92.3,4108
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,20/08/2015,1.44,6.02,364,2.064191,6.02339,2,Qa,92.3,7972
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,20/08/2015,3.29,8.27,350,0.309164,8.446316,4,Qa,92,559.1
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,20/08/2015,2.64,8.39,349,0.80547,7.089855,5,Qa,92,4953
GW400561,597735,6146023,-34.8234,148.0687,28/09/2015,3.44,8,304,1.24355,6.647909,3,Sbs,13.5,5058
GW400560,597927,6145945,-34.8241,148.0708,28/09/2015,2.53,14,304,0.502662,9.297188,4,Sws,13.5,5874
GW400563,596874,6150629,-34.7819,148.0588,28/09/2015,1.83,14,313,1.457451,6.715132,3,Sbs,13.5,6675
GW400564,596533,6150302,-34.7849,148.0551,28/09/2015,3,16.5,325,2.200544,6.574702,2,Dcc,13.5,13550
GW400552,604835,6154803,-34.7435,148.1453,28/09/2015,0.35,8,417,5.93511,5.478523,1,Cj,15.6,2220
GW400555,604940,6155155,-34.7403,148.1464,28/09/2015,3.74,10.5,421,2.718057,6.011496,2,Cj,15.6,1048
GW400550,595537,6174223,-34.5693,148.0415,29/09/2015,0,17,370,0.929375,6.87526,3,Sbs,16.3,3127
GW400551,595384,6174190,-34.5696,148.0398,29/09/2015,1.49,4,371,2.004911,5.878403,2,Sbs,16.3,2116
GW400548,595812,6174131,-34.5701,148.0445,29/09/2015,1.2,15.5,375,2.141957,6.05646,0,Qa,16.3,4370
GW400129,583489,6164991,-34.6536,147.9111,27/09/2015,0.69,2.92,447,2.160147,6.728999,3,Sfv,15.6,5226
GW400130,583475,6164979,-34.6537,147.9109,27/09/2015,0,13.35,447,2.694556,6.688941,3,Sfv,15.6,5463
Dinyah_shallow,593219,6170802,-34.60038,148.01662,30/09/2015,2.06,5.02,344,0.663079,7.60262,5,Qa,16.8,8229
Dinyah_deep,593220,6170799,-34.60041,148.01663,30/09/2015,1.59,18.5,344,0.728016,7.308076,5,Qa,16.8,4989
Coolac,606506,6134134,-34.92968,148.16614,26/09/2015,3.84,15.1,239,0.587074,8.431359,4,Qa,14.7,2051
GW400251,599052,6170914,-34.5988,148.0802,29/09/2015,0.58,5,381,1.848508,6.019974,3,Sbs,17.7,2399
GW400253,599051,6170914,-34.5988,148.0802,29/09/2015,0.51,11.6,381,1.848508,6.019974,3,Sbs,17.7,2006
GW400255,598686,6169984,-34.6072,148.0763,29/09/2015,0.9,13.6,370,2.102657,6.563342,3,Sbs,17.7,2541
GW400256,598685,6169984,-34.6072,148.0763,29/09/2015,0.69,5,370,2.102657,6.563342,3,Sbs,17.7,2781
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,29/09/2015,0.03,16.56,362,1.020261,7.054324,3,Qa,15.9,4017
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,29/09/2015,1.31,6.02,364,2.064191,6.02339,2,Qa,15.9,7601
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,30/09/2015,2.33,8.27,350,0.309164,8.446316,4,Qa,16.8,531.9
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,30/09/2015,1.96,8.39,349,0.80547,7.089855,5,Qa,16.8,4380
GW400561,597735,6146023,-34.8234,148.0687,18/11/2015,3.32,8,304,1.24355,6.647909,3,Sbs,101.4,4660
GW400560,597927,6145945,-34.8241,148.0708,18/11/2015,2.41,14,304,0.502662,9.297188,4,Sws,101.4,5190
GW400563,596874,6150629,-34.7819,148.0588,18/11/2015,1.83,14,313,1.457451,6.715132,3,Sbs,101.4,6220
GW400564,596533,6150302,-34.7849,148.0551,18/11/2015,2.98,16.5,325,2.200544,6.574702,2,Dcc,101.4,11997
GW400552,604835,6154803,-34.7435,148.1453,18/11/2015,0.55,8,417,5.93511,5.478523,1,Cj,97.4,2274
GW400555,604940,6155155,-34.7403,148.1464,18/11/2015,4.06,10.5,421,2.718057,6.011496,2,Cj,97.4,1123
GW400550,595537,6174223,-34.5693,148.0415,19/11/2015,0,17,370,0.929375,6.87526,3,Sbs,95.8,2914
GW400551,595384,6174190,-34.5696,148.0398,19/11/2015,1.63,4,371,2.004911,5.878403,2,Sbs,95.8,2505
GW400548,595812,6174131,-34.5701,148.0445,19/11/2015,1.3,15.5,375,2.141957,6.05646,0,Qa,95.8,4032
GW400129,583489,6164991,-34.6536,147.9111,18/11/2015,0.97,2.92,447,2.160147,6.728999,3,Sfv,111.6,5039
GW400130,583475,6164979,-34.6537,147.9109,18/11/2015,0,13.35,447,2.694556,6.688941,3,Sfv,111.6,5055
Dinyah_shallow,593219,6170802,-34.60038,148.01662,20/11/2015,2.03,5.02,344,0.663079,7.60262,5,Qa,96.8,8090
Dinyah_deep,593220,6170799,-34.60041,148.01663,20/11/2015,1.67,18.5,344,0.728016,7.308076,5,Qa,96.8,4319
Coolac,606506,6134134,-34.92968,148.16614,17/11/2015,4.02,15.1,239,0.587074,8.431359,4,Qa,105.4,1981
GW400251,599052,6170914,-34.5988,148.0802,19/11/2015,0.83,5,381,1.848508,6.019974,3,Sbs,90.8,2119
GW400253,599051,6170914,-34.5988,148.0802,19/11/2015,0.81,11.6,381,1.848508,6.019974,3,Sbs,90.8,1966
GW400255,598686,6169984,-34.6072,148.0763,19/11/2015,1.08,13.6,370,2.102657,6.563342,3,Sbs,90.8,2261
GW400256,598685,6169984,-34.6072,148.0763,19/11/2015,0.84,5,370,2.102657,6.563342,3,Sbs,90.8,2729
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,11/12/2015,0,16.56,362,1.020261,7.054324,3,Qa,96.8,3923
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,11/12/2015,1.91,6.02,364,2.064191,6.02339,2,Qa,96.8,7665
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,19/11/2015,2.86,8.27,350,0.309164,8.446316,4,Qa,25.3,601.1
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,19/11/2015,2.24,8.39,349,0.80547,7.089855,5,Qa,25.3,4026
GW400561,597735,6146023,-34.8234,148.0687,9/02/2016,3.5,8,304,1.24355,6.647909,3,Sbs,30.2,5207
GW400560,597927,6145945,-34.8241,148.0708,9/02/2016,2.55,14,304,0.502662,9.297188,4,Sws,30.2,5874
GW400563,596874,6150629,-34.7819,148.0588,9/02/2016,2.07,14,313,1.457451,6.715132,3,Sbs,30.2,6806
GW400564,596533,6150302,-34.7849,148.0551,9/02/2016,3.09,16.5,325,2.200544,6.574702,2,Dcc,30.2,14276
GW400552,604835,6154803,-34.7435,148.1453,9/02/2016,1.17,8,417,5.93511,5.478523,1,Cj,27.6,2381
GW400555,604940,6155155,-34.7403,148.1464,9/02/2016,4.8,10.5,421,2.718057,6.011496,2,Cj,27.6,1262
GW400550,595537,6174223,-34.5693,148.0415,10/02/2016,0,17,370,0.929375,6.87526,3,Sbs,12.6,3320
GW400551,595384,6174190,-34.5696,148.0398,10/02/2016,1.79,4,371,2.004911,5.878403,2,Sbs,12.6,2676
GW400548,595812,6174131,-34.5701,148.0445,10/02/2016,1.55,15.5,375,2.141957,6.05646,0,Qa,12.6,4540
GW400129,583489,6164991,-34.6536,147.9111,10/02/2016,NA,2.92,447,2.160147,6.728999,3,Sfv,19.3,NA
GW400130,583475,6164979,-34.6537,147.9109,10/02/2016,0,13.35,447,2.694556,6.688941,3,Sfv,19.3,5716
Dinyah_shallow,593219,6170802,-34.60038,148.01662,11/02/2016,2.86,5.02,344,0.663079,7.60262,5,Qa,16.1,8370
Dinyah_deep,593220,6170799,-34.60041,148.01663,11/02/2016,2.3,18.5,344,0.728016,7.308076,5,Qa,16.1,4923
Coolac,606506,6134134,-34.92968,148.16614,11/02/2016,4.42,15.1,239,0.587074,8.431359,4,Qa,33,2162
GW400251,599052,6170914,-34.5988,148.0802,10/02/2016,1.64,5,381,1.848508,6.019974,3,Sbs,15.1,2213
GW400253,599051,6170914,-34.5988,148.0802,10/02/2016,1.41,11.6,381,1.848508,6.019974,3,Sbs,15.1,2204
GW400255,598686,6169984,-34.6072,148.0763,10/02/2016,1.8,13.6,370,2.102657,6.563342,3,Sbs,15.1,2477
GW400256,598685,6169984,-34.6072,148.0763,10/02/2016,1.58,5,370,2.102657,6.563342,3,Sbs,15.1,2493
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,10/02/2016,0.06,16.56,362,1.020261,7.054324,3,Qa,12.9,4016
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,10/02/2016,1.91,6.02,364,2.064191,6.02339,2,Qa,12.9,7980
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,10/02/2016,3.42,8.27,350,0.309164,8.446316,4,Qa,16.1,554
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,10/02/2016,2.72,8.39,349,0.80547,7.089855,5,Qa,16.1,4366
